time,seconds_elapsed,z,y,x
1761369605305490400,0.122490478515625,0.07513421028852463,-0.22899135947227478,0.03229855000972748
1761369605333406200,0.15040625,0.13499724864959717,-0.5124244689941406,0.05673243850469589
1761369605352017700,0.169017578125,0.14721418917179108,-0.7940250635147095,0.015194825828075409
1761369605370627800,0.1876279296875,0.12644538283348083,-0.8880955576896667,-0.02214321307837963
1761369605389239800,0.20623974609375,0.0390942245721817,-0.6981220841407776,-0.016645587980747223
1761369605407849700,0.224849609375,-0.03298575058579445,-0.5588488578796387,-0.0007635590736754239
1761369605426461400,0.24346142578125,-0.0787992998957634,-0.4244624972343445,0.09155073016881943
1761369605445072000,0.26207177734375,-0.21990501880645752,0.10880716890096664,0.16424155235290527
1761369605463683300,0.280683349609375,-0.416597843170166,0.02023431472480297,0.00908635277301073
1761369605482293800,0.299293701171875,-0.6016845703125,-0.2149418741464615,-0.27197974920272827
1761369605500905500,0.317905517578125,-0.5699204802513123,-0.2387649267911911,-0.41736137866973877
1761369605519515600,0.336515625,-0.5125008225440979,-0.4067479074001312,-0.31290650367736816
1761369605538127400,0.35512744140625,-0.37139514088630676,-0.5405234694480896,-0.10949437320232391
1761369605556737500,0.373737548828125,-0.20035789906978607,-0.6052733063697815,-0.01969982497394085
1761369605575349200,0.392349365234375,-0.11361759155988693,-0.6883485317230225,-0.10582929104566574
1761369605593959400,0.41095947265625,-0.04459185153245926,-0.6138251423835754,-0.3177932798862457
1761369605612571100,0.429571044921875,-0.020157959312200546,-0.4446204602718353,-0.5346440672874451
1761369605631181300,0.448181396484375,-0.021990500390529633,-0.3688753843307495,-0.7178982496261597
1761369605649793000,0.46679296875,-0.053143709897994995,-0.4250733256340027,-0.8254073858261108
1761369605668403200,0.4854033203125,-0.1313321590423584,-0.34932827949523926,-0.8229639530181885
1761369605687015000,0.504014892578125,-0.16126367449760437,-0.20272493362426758,-0.6904101371765137
1761369605705625000,0.522625,-0.16676130890846252,-0.18317782878875732,-0.4900522232055664
1761369605724236800,0.54123681640625,-0.1844758689403534,-0.21677441895008087,-0.305576354265213
1761369605742847000,0.559846923828125,-0.20524467527866364,-0.2247154414653778,-0.2163926362991333
1761369605761458700,0.578458740234375,-0.21562908589839935,-0.24792763590812683,-0.27320143580436707
1761369605780068900,0.59706884765625,-0.2217375487089157,-0.2393757700920105,-0.40575528144836426
1761369605798680600,0.6156806640625,-0.24189551174640656,-0.28274592757225037,-0.5126535892486572
1761369605817290800,0.634290771484375,-0.24433889985084534,-0.3939201235771179,-0.5395308136940002
1761369605835902500,0.65290234375,-0.2480039894580841,-0.4855472147464752,-0.4796678125858307
1761369605854512600,0.6715126953125,-0.2742704153060913,-0.6181010603904724,-0.3892624080181122
1761369605873124400,0.690124267578125,-0.29381752014160156,-0.7213342785835266,-0.31229567527770996
1761369605891734500,0.708734619140625,-0.3005368411540985,-0.6962895393371582,-0.2817533016204834
1761369605910346200,0.72734619140625,-0.3176405727863312,-0.5790068507194519,-0.2939702570438385
1761369605928956400,0.745956298828125,-0.3243598937988281,-0.3700970709323883,-0.305576354265213
1761369605947568000,0.764568115234375,-0.32191649079322815,-0.17035003006458282,-0.27686652541160583
1761369605966178300,0.78317822265625,-0.33474430441856384,-0.05795413255691528,-0.22372281551361084
1761369605984790000,0.8017900390625,-0.33230090141296387,-0.0011453386396169662,-0.16935740411281586
1761369606003400200,0.820400146484375,-0.32374903559684753,0.047111593186855316,-0.1119377613067627
1761369606022012000,0.839011962890625,-0.3158080279827118,0.057496000081300735,-0.05757235363125801
1761369606040622000,0.8576220703125,-0.29442837834358215,0.06910209357738495,-0.022754060104489326
1761369606059233800,0.87623388671875,-0.2486148327589035,0.030007870867848396,0.0164165198802948
1761369606077844200,0.89484423828125,-0.20157960057258606,-0.08666395395994186,0.07261446863412857
1761369606096456000,0.9134560546875,-0.1429382562637329,-0.19417306780815125,0.1343100368976593
1761369606115065900,0.93206591796875,-0.10262233763933182,-0.26014456152915955,0.19172967970371246
1761369606133677800,0.950677734375,-0.0910162404179573,-0.3407764136791229,0.2131093442440033
1761369606152288000,0.9692880859375,-0.06780404597520828,-0.4977641701698303,0.2002815455198288
1761369606170899700,0.987899658203125,-0.06413896381855011,-0.5325824618339539,0.19722731411457062
1761369606189510000,1.006510009765625,-0.07207997888326645,-0.5680115818977356,0.23693238198757172
1761369606208121600,1.02512158203125,-0.09407047927379608,-0.5429668426513672,0.28580015897750854
1761369606226731800,1.043731689453125,-0.11239589750766754,-0.48310381174087524,0.3303920030593872
1761369606245343500,1.062343505859375,-0.21929416060447693,-0.37315133213996887,0.3200076222419739
1761369606263953700,1.08095361328125,-0.3793361485004425,-0.2790808379650116,0.28702184557914734
1761369606282565400,1.0995654296875,-0.46424391865730286,-0.23021306097507477,0.20822255313396454
1761369606301175600,1.118175537109375,-0.4563029110431671,-0.23571068048477173,0.0946049690246582
1761369606319787300,1.136787353515625,-0.38483378291130066,-0.21066594123840332,0.013973130844533443
1761369606338397400,1.1553974609375,-0.2980934679508209,-0.04756972938776016,0.019470756873488426
1761369606357009200,1.174009033203125,-0.2113531529903412,0.16500511765480042,0.08788564801216125
1761369606375619300,1.192619384765625,-0.12827792763710022,0.25296711921691895,0.18378867208957672
1761369606394231000,1.21123095703125,-0.09773556143045425,0.25235626101493835,0.2815242409706116
1761369606412841200,1.22984130859375,-0.1056765764951706,0.31710609793663025,0.3664320111274719
1761369606431453000,1.248452880859375,-0.12155860662460327,0.38491013646125793,0.45622655749320984
1761369606450063000,1.26706298828125,-0.16309621930122375,0.45027077198028564,0.5454102754592896
1761369606468674800,1.2856748046875,-0.237008735537529,0.4826456904411316,0.6345939636230469
1761369606487285200,1.30428515625,-0.3158080279827118,0.3763582706451416,0.7097281813621521
1761369606505896700,1.322896728515625,-0.41110020875930786,0.048333290964365005,0.7836406826972961
1761369606524507100,1.341507080078125,-0.5680879354476929,-0.357269287109375,0.9064210057258606
1761369606543118800,1.360118896484375,-0.7342383861541748,-0.676131546497345,1.0634087324142456
1761369606561729000,1.37872900390625,-0.7690566778182983,-0.8221240639686584,1.119606614112854
1761369606580340700,1.3973408203125,-0.6810947060585022,-0.8239566087722778,0.9852202534675598
1761369606598951000,1.415950927734375,-0.546097457408905,-0.8935931921005249,0.6883485317230225
1761369606617562600,1.434562744140625,-0.41232189536094666,-0.9113077521324158,0.36459946632385254
1761369606636172800,1.4531728515625,-0.29748260974884033,-0.8441145420074463,0.12514732778072357
1761369606654784500,1.471784423828125,-0.2229592502117157,-0.6834617257118225,-0.054518118500709534
1761369606673394700,1.490394775390625,-0.1716480851173401,-0.3865899443626404,-0.18401773273944855
1761369606692006400,1.50900634765625,-0.16370706260204315,-0.027411770075559616,-0.23716144263744354
1761369606710616600,1.527616455078125,-0.1692046970129013,0.18760646879673004,-0.2652604281902313
1761369606729228300,1.546228271484375,-0.14965757727622986,0.21142950654029846,-0.33856210112571716
1761369606747838500,1.56483837890625,-0.12644538283348083,0.12407834827899933,-0.4900522232055664
1761369606766450200,1.5834501953125,-0.09468132257461548,0.031229566782712936,-0.6806365847587585
1761369606785060400,1.602060302734375,-0.06413896381855011,-0.05734328553080559,-0.8223531246185303
1761369606803672000,1.620672119140625,-0.04031591862440109,-0.11476293206214905,-0.9359707236289978
1761369606822282500,1.639282470703125,-0.051922015845775604,-0.06589514762163162,-1.0288194417953491
1761369606840894200,1.657894287109375,-0.07391251623630524,0.13446275889873505,-1.0721896886825562
1761369606859504400,1.67650439453125,-0.12644538283348083,0.2590755820274353,-1.0520316362380981
1761369606878116000,1.6951162109375,-0.1313321590423584,0.2450261116027832,-0.9940012097358704
1761369606896726300,1.713726318359375,-0.05619794875383377,0.16195088624954224,-0.8980981707572937
1761369606915338000,1.732337890625,0.06780404597520828,0.20348849892616272,-0.7679877281188965
1761369606933948200,1.7509482421875,0.258999228477478,0.3537569046020508,-0.6146650314331055
1761369606952559900,1.769559814453125,0.4434750974178314,0.6744517087936401,-0.4027010500431061
1761369606971170000,1.788170166015625,0.5680879354476929,0.920012354850769,-0.19562382996082306
1761369606989781800,1.80678173828125,0.6359683275222778,1.0036983489990234,-0.01175880990922451
1761369607008392000,1.825391845703125,0.6213080286979675,0.9817079305648804,0.17096087336540222
1761369607027003600,1.844003662109375,0.5308262705802917,0.9499438405036926,0.3193967640399933
1761369607045613800,1.86261376953125,0.41293275356292725,0.8363262414932251,0.382924884557724
1761369607064225500,1.8812255859375,0.2852656841278076,0.6591805219650269,0.33650049567222595
1761369607082835700,1.899835693359375,0.1459924876689911,0.5125772356987,0.2253262847661972
1761369607101447400,1.918447509765625,0.029320668429136276,0.2737359404563904,0.10254598408937454
1761369607120057600,1.9370576171875,-0.04703523963689804,0.1265217363834381,0.04146125912666321
1761369607138669300,1.95566943359375,-0.056808795779943466,0.07032378762960434,0.009697199799120426
1761369607157279700,1.97427978515625,-0.04214845970273018,0.08987089991569519,0.030466007068753242
1761369607175891500,1.992891357421875,-0.09040539711713791,0.18333053588867188,0.11231953650712967
1761369607194501600,2.011501708984375,-0.09345962852239609,0.25235626101493835,0.21066594123840332
1761369607213113300,2.03011328125,-0.05619794875383377,0.31771692633628845,0.33833301067352295
1761369607231723500,2.0487236328125,-0.021990500390529633,0.33298811316490173,0.4898231327533722
1761369607250335200,2.067335205078125,0.024433890357613564,0.17722205817699432,0.6278746128082275
1761369607268945400,2.0859453125,0.06780404597520828,0.06910209357738495,0.7378271222114563
1761369607287557000,2.10455712890625,0.05803048983216286,0.12407834827899933,0.8037986159324646
1761369607306167300,2.123167236328125,0.11667182296514511,0.14667969942092896,0.7408813834190369
1761369607324779000,2.141779052734375,0.14110571146011353,0.06910209357738495,0.5564054846763611
1761369607343389200,2.16038916015625,0.10628741979598999,0.01779092662036419,0.34932827949523926
1761369607362001000,2.1790009765625,0.06963659077882767,0.0361163429915905,0.21616357564926147
1761369607380611000,2.197611083984375,0.06352811306715012,0.06360447406768799,0.15202461183071136
1761369607399222800,2.216222900390625,0.06291726976633072,-0.0231358390301466,0.1355317384004593
1761369607417833000,2.2348330078125,0.04886778071522713,-0.17096087336540222,0.13186664879322052
1761369607436444700,2.253444580078125,0.06780404597520828,-0.25647950172424316,0.11293038725852966
1761369607455054800,2.272054931640625,0.0787992998957634,-0.23632153868675232,0.029855160042643547
1761369607473666600,2.29066650390625,0.06902574002742767,-0.17706935107707977,-0.12048961967229843
